codigoparc,X,Y,Especie,k
I40-4-1,-90.05398522,14.02156629,TABEDO,0.1503952443128149
I42-5-1,-90.24555781,14.20034767,PINUOO,0.243111697551865
I42-5-2,-90.24604859,14.20064651,PINUOO,0.26410480167190653
I51-6-1,-90.84603396,14.53522844,CUPRLU,0.28891473134126555
I51-8-1,-90.77456013,14.59,ALNUJO,0.6241703883168798
I51-2-1,-90.78047832,14.59246484,PINUPS,0.551016646497677
I51-1-2,-90.77962472,14.59276417,CUPRLU,0.8133917857271439
I33-6-1,-89.49589444,14.68098596,PINUOO,5.1147557556691075
I64-9-1,-91.09056521,14.69096606,CUPRLU,0.2683147871134054
I64-9-2,-91.09288657,14.70466362,CUPRLU,0.31612930084876995
I94-5-1,-91.71440174,14.72047001,PINUMI,0.30422884589554905
I33-7-1,-89.67781815,14.75623549,PINUOO,0.8767521630199179
I33-7-3,-89.67683861,14.75736185,PINUOO,0.43463180872399937
I61-6-1,-91.46781749,14.75850967,ABIEGU,0.08662816801119591
I33-7-2,-89.67990381,14.75985842,PINUOO,1.3755342456122945
I61-4-1,-91.4753275,14.76169579,ABIEGU,0.08967410714322871
I61-5-1,-91.46800692,14.76353427,ABIEGU,0.13989244568693243
I12-20-1,-90.50569,14.77225007,PINUOO,0.24701146011907707
I64-5-6,-91.11550891,14.77398933,PINUPS,0.27927866637762055
I64-5-9,-91.12712204,14.77432869,PINUPS,0.2601789085506813
I64-5-8,-91.12656683,14.77508948,PINUPS,0.17490582800843757
I12-20-2,-90.50056,14.77528007,PINUOO,0.2455425691823234
I64-10-5,-91.12482142,14.77870986,PINUPS,1.5134229746666203
I12-20-3,-90.50072,14.77908007,PINUOO,0.21509644923541588
I12-20-4,-90.50417,14.77917007,PINUOO,0.08215898047565724
I64-10-6,-91.1185577,14.78117634,PINUPS,0.1785376670632256
I64-5-7,-91.12041618,14.78134309,PINUPS,0.11684506588010456
I12-20-6,-90.50583,14.78528007,PINUOO,0.23320606551472378
I12-20-5,-90.50583,14.78533007,PINUOO,0.22417546137983352
I64-10-7,-91.1199748,14.78621637,CUPRLU,0.09928480774221228
I12-20-8,-90.50506,14.78750007,PINUOO,0.16080505258657057
I64-2-3,-91.40682848,14.78751788,CUPRLU,0.04695469555540641
I12-10-8,-90.49611,14.78833007,PINUOO,0.20032633793069426
I64-10-8,-91.12026082,14.78879175,CUPRLU,0.1129411713242109
I64-5-3,-91.12417301,14.78912468,PINUPS,0.349434538664985
I12-20-7,-90.50431,14.79008007,PINUOO,0.27660602597541484
I64-5-2,-91.12312222,14.79203812,PINUPS,0.2742575197071641
I12-10-18,-90.50258,14.79472007,PINUOO,0.167086368830088
I12-10-6,-90.48417,14.79528007,PINUOO,0.2156022750977578
I12-10-17,-90.50322,14.79722007,PINUOO,0.0808732690491434
I12-10-5,-90.48417,14.79806007,PINUOO,0.20590110232900607
I12-10-3,-90.49972,14.79833007,PINUOO,0.08052927099258046
I12-10-1,-90.49333,14.79833007,PINUOO,0.17927827319722298
I12-10-2,-90.49667,14.79861007,PINUOO,0.18029956719708903
I12-10-4,-90.48389,14.79861007,PINUOO,0.19629474908872874
